root,path,depth,button_name,query,message,child_count,utility_buttons,external_urls
교통·차량,교통·차량 > 자동차번호 변경 가능 사유,1,자동차번호 변경 가능 사유,btn_교통차량_자동차번호판 변경 가능 사유_상위 인텐트_default,"승용차 기준 자동차번호 변경 가능한 사유입니다.
👉옆으로 넘겨 정보를 확인해 주시기 바랍니다.
💡추가 문의는 아래 콜센터(1577-4200)로 연락 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 저공해차 확인 방법,1,저공해차 확인 방법,btn_교통차량_저공해차 확인_상위 인텐트_default,"저공해 차량은 무공해차 통합누리집 사이트에서 확인 가능하여, 무공해차 통합누리집 선택해 주시면 바로 사이트로 연결해 드리겠습니다🙂",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 정기·종합 검사 과태료,1,자동차 정기·종합 검사 과태료,btn_교통차량_자동차 정기검사(종합검사)_과태료_상위 인텐트_default,"자동차 정기검사 (종합검사) 과태료🔹부과기준🔹금액 안내 가능합니다.
👉옆으로 넘겨 정보를 확인해 주시기 바랍니다.
💡추가 문의 또는 과태료 유선 조회는 아래 콜센터(1577-4200)로 연락 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 정기·종합 검사소,1,자동차 정기·종합 검사소,btn_교통차량_자동차 정기검사(종합검사) 검사소_상위 인텐트_default,"주소지 관계 없이 전국 한국교통안전공단 자동차 검사소 및 출장 검사장 또는 1급 공업사 모두 검사 가능 합니다.
화성시 인근 자동차 검사소 정보입니다. (전국 검사소 예약제 시행중)
1. 한국교통안전공단 서수원검사소
🔹주소: 수원시 권선구 수인로24(서둔동)
📞유선번호: 031-293-9339
2. 한국교통안전공단 수원검사소
🔹주소: 수원시 영통구 신원로 240(매탄동)
📞유선번호: 031-211-2414
3. 한국교통안전공단 동탄검사소
🔹주소: 경기도 화성시 동탄기흥로642-4
📞유선번호: 031-378-8731
💡추가 문의는 아",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 자동차 의무보험 미가입 과태료,1,자동차 의무보험 미가입 과태료,btn_교통차량_자동차 의무보험 미가입_상위 인텐트_default,"자동차 의무보험 미가입 과태료는 차종 관계없이 의무보험 만료 당일 바로 보험 가입해야 과태료 미부과이며, 하루라도 미가입 시 과태료 부과 대상입니다.
🔹자가용 자동차 의무보험 미가입 과태료 부과 흐름도입니다.
10일 이내 15,000원
↓
10일 초과 매일 6,000원씩 추가
↓
과태료 첫 발생일로부터 158일째 되는 날 90만원 부과
↓
90만원 발생 후 체납 시 첫 가산금 3% 부과 (총 금액: 927,000원)
↓
매월 1.2%씩 최대 60개월까지 총 75% 부과(최종금액: 1,575,000원)
💡과태료 조회는 화성시청 콜센터",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 건설기계 조종사 안전교육,1,건설기계 조종사 안전교육,btn_교통차량_건설기계 조종사 안전교육_상위 인텐트_default,"건설기계 조종사 안전교육은 건설기계 조종사 안전교육 통합포털 🔹인터넷 🔹콜센터 확인 방법이 있습니다.
원하시는 방법을 선택해 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 건설기계 조종사 면허증 발급,1,건설기계 조종사 면허증 발급,btn_교통·차량_건설기계 조종사 면허증 발급_default,"건설기계 조종사 자격증을 취득한 자 또는 이수한 경우 조종사 면허증 발급이 가능합니다.
🔹화성시 관내 접수처
- 주소: 경기도 화성시 향남읍 향남로 470 화성종합경기타운 실내체육관 1층
- 동탄분소 업무 불가합니다.
- 건설기계조종사면허증 소지자의 주소와 관계없이 전국에서 업무처리 가능합니다.
- 타시 방문하는 경우 방문처로 구비서류 문의해야합니다.
💡아래 버튼을 눌러 발급에 필요한 구비서류를 확인할 수 있습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 공영주차장 현황,1,공영주차장 현황,btn_교통·차량_공영주차장 현황_default,"화성시가 설치한 유료주차장을 화성도시공사가 대행하여 관리 운영하고 있습니다😊
💡아래 버튼을 눌러 정보를 확인해주세요.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 화물자동차 공영차고지,1,화물자동차 공영차고지,btn_교통·차량_공영주차장 현황_$화물 관련,"화성시가 설치한 유료주차장을 화성도시공사가 대행하여 관리 운영하고 있습니다😊
💡아래 버튼을 눌러 정보를 확인해주세요.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 불법 주정차 안내,1,불법 주정차 안내,btn_최상위_불법 주정차_default,불법 주정차 관련 원하는 정보를 선택해 주시면 자세하게 알려드리겠습니다🙂,6,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 불법 주정차 안내 > 불법 주정차 단속 요청,2,불법 주정차 단속 요청,btn_교통차량_불법 주정차 단속_상위 인텐트_default,"불법 주정차는🔹
법정도로변(인도변)
🔹
장애인 전용 주차구역 위치
에 따라 단속부서가 나눠집니다.
원하시는 단속 위치를 선택해 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 불법 주정차 안내 > 불법 주정차 단속 기준,2,불법 주정차 단속 기준,btn_교통차량_불법 주정차_단속 기준_default,"불법 주정차 단속 대상 지역에 10분 이상 주정차 단속됩니다.
👉옆으로 넘겨 정보를 확인해 주시기 바랍니다.
💡추가 문의는 아래 콜센터(1577-4200)로 연락 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 불법 주정차 안내 > 불법 주정차 과태료,2,불법 주정차 과태료,btn_교통차량_불법 주정차_과태료_default,"차량 종류별 불법 주정차 과태료 부과 금액입니다.
🔹
승용차, 4톤 이하 화물자동차
┗ 일반구역 4만원 / 소화전 5m 이내 8만원 / 어린이보호구역 12만원
🔹
승합차, 4톤 초과 화물자동차, 특수자동차, 건설기계
┗ 일반구역 5만원 / 소화전 5m 이내 9만원 / 어린이보호구역 13만원
📍사전통지서 발송 시
20% 감경액
고지서 등기 발송.
💡개인 부과
금액 조회
또는 추가 문의는 화성시청 콜센터(1577-4200)로 연락 주시면 자세하게 알려드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 불법 주정차 안내 > 불법 주정차 단속사진,2,불법 주정차 단속사진,btn_교통차량_불법 주정차_단속사진_default,"불법 주정차 과태료 단속사진은
화성시 주정차민원 서비스
사이트에서 확인 가능합니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 불법 주정차 안내 > 휴대폰 문자알림 서비스,2,휴대폰 문자알림 서비스,btn_교통차량_불법 주정차_휴대폰 문자알림 서비스_default,"불법 주정차
휴대폰 문자알림 서비스
사이트에서 신청 가능합니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 불법 주정차 안내 > 불법 주정차 이의신청,2,불법 주정차 이의신청,btn_교통차량_불법 주정차_이의신청(의견진술)_default,"불법 주정차 과태료 의견진술 및 이의신청 가능한 담당자 번호 입니다.
🔹만세구청 경제교통과 교통지도팀
┗031-5189-1223
🔹효행구청 안전건설과 교통지도팀
┗031-5189-7555
🔹병점구청 안전건설과 교통지도팀
┗031-5189-4791
🔹동탄구청 경제교통과 교통지도팀
┗031-5189-6980",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 도로파손 및 도로 관리,1,도로파손 및 도로 관리,btn_교통차량_도로파손 및 도로관리_상위 인텐트_default,"화성시는 권역별 도로 관리 소관처가 나눠집니다.
도로 보수 상담 가능한 담당자 번호를 알려드리겠습니다.
👆상세보기를 눌러 정보를 확인해 주시기 바랍니다.",9,교통 · 차량 안내|🏠처음으로,tel:031-5189-1053|tel:031-5189-1055|tel:031-5189-7559|tel:031-5189-4516|tel:031-5189-4187|tel:031-5189-5695|tel:031-5189-6387|tel:031-218-1751|tel:031-8008-5883
교통·차량,교통·차량 > 국가 배상신청 제도,1,국가 배상신청 제도,btn_교통차량_국가 배상신청 제도_상위 인텐트_default,"화성시는 권역별 국가배상신청 소관처가 나눠집니다.
👆상세보기를 눌러 정보를 확인해 주시기 바랍니다.",7,교통 · 차량 안내|🏠처음으로,tel:031-5189-1062|tel:031-5189-7548|tel:031-5189-7546|tel:031-5189-4190|tel:031-5189-6836|tel:031-218-1755|tel:031-8008-5888
교통·차량,교통·차량 > 버스노선 안내,1,버스노선 안내,btn_교통차량_버스노선 안내_상위 인텐트_default,"버스노선은🔹
경기버스정보
사이트에서 조회 가능합니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 공항버스 예약,1,공항버스 예약,btn_교통차량_공항버스 예약_상위 인텐트_default,"공항버스 예약은🔹
티머니GO
🔹
버스타고
사이트에서 가능합니다.
원하시는 사이트를 선택해 주시면 바로 연결해 드리겠습니다.",0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 화성시 무상교통 안내,1,화성시 무상교통 안내,btn_교통차량_화성시 무상교통 신청_상위 인텐트_default,화성시 무상 교통 사이트에서 신청방법 확인 가능합니다.,0,교통 · 차량 안내|🏠처음으로,
교통·차량,교통·차량 > 화성시 똑버스,1,화성시 똑버스,btn_교통·차량_화성시 똑버스_default,"화성시 똑버스는 신도시나 교통 취약지역에서 고정된 노선과 정해진 운행계획표 없이 승객의 호출에 대응해 탄력적으로 승객을 수송하는 맞춤형 대중교통 수단입니다.
🔹운행지역은 동탄1,2신도시, 향남1,2 신도시, 봉담읍, 남양읍, 마도면 입니다.
👉옆으로 넘겨 정보를 확인해 주시기 바랍니다.",0,교통 · 차량 안내|🏠처음으로,
